"                 /;.,   3 ",UFV,CNPJ,Unidade,Frente,Natureza,Portfólio,Fornecedor,Contrato original,Aditivo 1,Aditivo 2,Aditivo 3,Aditivo 4,Aditivo 5,Valor total,FD.Medido,Medição,FD+Medição,Saldo a Medir,Avanço Contratual%,"Pagamento? 
Sim / Não",OBS:
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Conexão AT - Obras,Mori,MBA,308990.19,0,0,0.0,0.0,0.0,308990.19,99490.19,209500.0,308990.19,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Conexão MT - Obras,Mori,MBA,735500,-78467.77,0,0.0,0.0,0.0,657032.23,197032.22999999998,460000.0,657032.23,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Construção - Serviços de Construção,Mori,Implantar,2556450,157000,91704.15,251404.62,44129.95,0.0,3100688.72,1313672.68,1778347.14,3092019.82,8668.900000000373,0.9972042017813383,N,Em Processo Judicial
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Construção - Serviços de Construção - Substituição,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Construção - RDA Interno,Mori,Eletrocamp,402477.3,6400,7304.5454,0.0,0.0,0.0,416182.01,0.0,416182.00999999995,416182.00999999995,0.0,0.9999999999999999,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Full EPC - Contrato,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Equipamentos Curva A - Outros (Transformadores),Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Equipamentos Curva A - Outros (Cabine + Skid),Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Equipamentos Curva A - Outros (Cabine + Skid + Transformador),Mori,Romagnole,1200784.688565514,0,0,0.0,0.0,0.0,1200784.688565514,0.0,1200784.688565514,1200784.688565514,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Projetos - (Eng° Proprietario),Mori,LM Eng.,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Projetos - Executivos,Mori,Enersolar,Feito com a GLD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Projetos Básica,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Projetos Detalhada,Mori,GLD,93783,42026.46,0,0.0,0.0,0.0,135809.46,0.0,135809.46,135809.46,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Ambiental / Outros,Mori,Varios,177481.41000000006,0,0,0.0,0.0,0.0,177481.41000000006,0.0,177481.41000000006,177481.41000000006,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Coordenograma,Mori, PROJETTI,6206.9,0,0,0.0,0.0,0.0,6206.9,0.0,6206.9,6206.9,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Sistemas de Monitoramento - Supervisório,Mori,ATI,136154.99000000002,,0,0.0,0.0,0.0,136154.99000000002,5821.02,130333.97000000002,136154.99000000002,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Sistemas de Monitoramento - Estações Solarimétricas,Mori,Hukseflux  ,48276.516,0,0,0.0,0.0,0.0,48276.516,0.0,48276.516,48276.516,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Sistemas de Monitoramento - CFTV,Mori,Maxvision,248414.57,0,10913.68,0.0,0.0,0.0,259328.25,0.0,259328.25,259328.25,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Serviços Auxiliares - Drenagem,Mori,CONSPLAN / ORCI / Engetela,839026.26,293286.3,188709,96815.0,0.0,0.0,1417836.56,94354.5,1323482.06,1417836.56,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Serviços Auxiliares - Terraplanagem,Mori,MRO,1108130.56,0,0,0.0,0.0,0.0,1108130.56,0.0,1108130.56,1108130.56,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Serviços Auxiliares - Supressão Vegetal,Mori,Rima,50000,3500,30000,0.0,0.0,0.0,83500.0,0.0,83500.0,83500.0,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,RDR-Rede de Distribuição Rural,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Escopo COMERC,Mori,0,552033.5800000001,59000,0,0.0,0.0,0.0,611033.5800000001,61688.6,491343.76000000007,553032.3600000001,58001.21999999997,0.9050768699160527,S,Escopo Comerc
