Nome do Assistente que processou,CNPJ UFV,USINA/FILIAL,CLUSTER,PC,Nº DA NF ,FORNECEDOR,CNPJ - FORNECEDOR,TIPO  DE SERVIÇO PRESTADO,DATA DE EMISSAO - NF ,VALOR DA NF,DT DE INSERÇÃO DO PC,VENCIMENTO,DATA ENVIO AO FISCAL,DATA DE ESCRITURAÇÃO DO FISCAL,DATA QUE A NF FOI PAGA,STATUS DO LANÇAMENTO
NAUANY,42.911.546/0006-59,CAMPO BELO 2,SUL,003372,8406,RM FRANCO - VLE SAFE,36.881.722/0001-40,COMPRA DE EPIs,09/04/2025,6730.98,29/09/2025,25/10/2025,01/10/2025,20/10/2025,,FINANCEIRO
NAUANY,29.183.782/0001-23,MORI ENERGIA HOLDING S.A,TRIANGULO,057344,8922,RM FRANCO - VLE SAFE,36.881.722/0001-40,COMPRA DE EPIs,08/05/2025,19898.75,01/10/2025,25/10/2025,07/10/2025,20/10/2025,,FINANCEIRO
THAUANY,41718786000245,UFV MORI MINAS BAHIA I ,BAHIA,360,1664576,BUNZL EQUIPAMENTOS ,43.854.777/0001-26,COMPRA DE EQUIPAMENTOS,02/06/2025,1718.28,18/09/2025,05/10/2025,22/09/2025,,,PAGO 
SABRINA,54294711000730,UFV COMERC BAHIA 3 LTDA - AZ05,NORDESTE,1471,1664575,BUNZL EQUIPAMENTOS ,43.854.777/0001-26,COMPRA DE EQUIPAMENTOS,02/06/2025,1718.28,13/01/2026,05/02/2026,,,,AGUARDANDO APROVACAO ATE 16/01
SABRINA,54294711001460,UFV COMERC BAHIA 3 LTDA - AZ13,NORDESTE,1472,1667972,BUNZL EQUIPAMENTOS ,43.854.777/0001-26,COMPRA DE EQUIPAMENTOS,09/06/2025,1718.28,13/01/2026,05/02/2026,,,,AGUARDANDO APROVACAO ATE 16/01
NAUANY,34.183.614/0005-00,BRASILANDIA 1,TRIANGULO,001649,375220,LOJA ELETRICA LTDA,17.155.342/0012-36,COMPRA: CABO SOLAR UV ,14/06/2025,37693.59,13/08/2025,05/09/2025,22/08/2025,13/08/2025,,FINANCEIRO
SABRINA,42911546000900,MORI MINAS NEWCO V ENERGIA SOLAR S.A.,SUL ,003191,702,RC ELETRONICA,4428500000180,COMPRA MATERIAIS CFTV ,18/06/2025,4900,08/07/2025,25/07/2025,09/07/2025,,,FINANCEIRO
SABRINA,53.048.055/0004-80,UFV COMERC MINAS GERAIS 3 - SANTO ANTONIO DO AMPARIO 2,SUL ,000408,12528,RITZ MG COMERCIAL LTDA,58.745.880/001-26,COMPRA DE EPC ,18/06/2025,18270.42,03/07/2025,25/07/2025,09/07/2025,,,FINANCEIRO
ANDREY,34.115.737/0002-52,RAJADA ,PERNEMBUCO,185,459901,INGRAM MICRO ,01.771.935/0008-00,COMPRA DE IMPRESSORA ,01/07/2025,1726.53,03/07/2025,30/08/2025,03/07/2025,,,FINANCEIRO
ANDREY,34.115.737/0002-52,RAJADA ,PERNEMBUCO,177,2178,SCANSEC,31.063.110/0001-26,SUPORTE TEC EM INTERNET ,01/07/2025,167.2,04/07/2025,25/07/2025,04/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0012-06,UFV JOAO DOURADO,BAHIA,619,714,LATWAN CONECTIVIDADE,44.570.201/0001-08,SERVIÇO DE TELECOMUNICAÇÃO ,01/07/2025,890,04/07/2025,25/07/2025,04/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0012-06,UFV JOAO DOURADO,BAHIA,818,729,LATWAN CONECTIVIDADE,44.570.201/0001-08,SERVIÇO DE TELECOMUNICAÇÃO ,01/07/2025,1740,04/07/2025,25/07/2025,08/08/2025,,,FINANCEIRO
ANDREY,54.294.711/0012-06,UFV JOAO DOURADO,BAHIA,824,887,SCANSEC,31.063.110/0001-26,ALUGUEL DE EQUPAMENTOS,01/07/2025,677.66,04/07/2025,25/07/2025,08/07/2025,,,FINANCEIRO
ANDREY,29.183.782/0001-23,MORI ENERGIA HOLDING S.A,BAHIA,57101,20251316,ATI AUTOMAÇÃO,22.311.229/0001-80,SUPORTE TECEM INFORMATICA ,01/07/2025,8500,05/07/2025,25/07/2025,09/07/2025,,,FINANCEIRO
ANDREY,53.599.051/0004-90,UFV COMERC PERNAMBUCO 3 (CUPIRA),PERNEMBUCO,216,9197,VALESAFE,36.881.722/0001-40,EPI's,01/07/2025,3754.69,07/07/2025,25/07/2025,08/07/2025,,,FINANCEIRO
